kind,intensity,precision,recall,f1,fpr,pr_auc,roc_auc,psi,mmd,drift_alarm
covariate,0.0,0.0,0.0,0.0,0.03299492385786802,0.28712834376263785,0.010666369479875176,0.31017253345295204,0.21033982754023395,True
covariate,0.25,0.0,0.0,0.0,0.02284263959390863,0.28701470740939694,0.00968493406767231,0.3107556755920896,0.21726194896875983,True
covariate,0.5,0.0,0.0,0.0,0.027918781725888325,0.2869926226589624,0.010504594411929653,0.31017663932011025,0.21253939380657627,True
covariate,0.75,0.0,0.0,0.0,0.0025380710659898475,0.2868208057247346,0.00548597230410836,0.3081467080666651,0.2117200265292436,True
covariate,1.0,0.0,0.0,0.0,0.02030456852791878,0.28725515496474874,0.010296084324355411,0.309758982386118,0.2095824417632507,True
concept,0.0,0.0,0.0,0.0,0.015228426395939087,0.28713306423725793,0.010799384535741507,0.3096280195932196,0.2174579511139041,True
concept,0.25,0.0,0.0,0.0,0.02030456852791878,0.28688334559338396,0.00542845227994996,0.31176508138484504,0.21169538544769306,True
concept,0.5,0.0,0.0,0.0,0.025380710659898477,0.28696188378233617,0.005255892207474699,0.31164812554308297,0.20711146961955695,True
concept,0.75,0.0,0.0,0.0,0.017766497461928935,0.2872387998423574,0.010461454393810824,0.31280489766659214,0.21603671401885283,True
concept,1.0,0.0,0.0,0.0,0.025380710659898477,0.2870089418692847,0.009080973814008988,0.31616435257439124,0.2131476862982865,True
