model,seed,is_classical,is_semi_supervised,n_train_windows,n_test_windows,train_time_s,threshold,temperature,ece_pre,ece_post,precision,recall,f1,fpr,mcc,tp,fp,tn,fn,roc_auc,pr_auc,pr_auc_ci_lo,pr_auc_ci_hi,latency_ms_per_sample
logistic_regression,42,True,False,69982,175341,3.94,0.6914075684546303,,0.1036700813109985,0.1036700813109985,0.9910771478339044,0.7389832496794899,0.8466634025517699,0.0141785714285714,0.675935375998166,88191,794,55206,31150,0.9750987902912064,0.9857902504669774,0.9851228165151832,0.9864512413508182,0.112
logistic_regression,123,True,False,69982,175341,3.87,0.6914075684546303,,0.1036700813109985,0.1036700813109985,0.9910771478339044,0.7389832496794899,0.8466634025517699,0.0141785714285714,0.675935375998166,88191,794,55206,31150,0.9750987902912064,0.9857902504669774,0.9850709678540612,0.9864806937926778,0.12
logistic_regression,2024,True,False,69982,175341,3.83,0.6914075684546303,,0.1036700813109985,0.1036700813109985,0.9910771478339044,0.7389832496794899,0.8466634025517699,0.0141785714285714,0.675935375998166,88191,794,55206,31150,0.9750987902912064,0.9857902504669774,0.985243081050876,0.9864044900749794,0.076
random_forest,42,True,False,69982,175341,3.86,0.5705904895656122,,0.08298330829305,0.08298330829305,0.9921544549051712,0.8530262022272312,0.917345131945915,0.014375,0.7936191219515114,101801,805,55195,17540,0.98523268474671,0.9930236602267436,0.9927501601333208,0.9932322286947022,54.832
random_forest,123,True,False,69982,175341,3.56,0.5754149159749657,,0.0820092501703528,0.0820092501703528,0.9912327699576252,0.8526407521304498,0.9167282293374656,0.0160714285714285,0.791726800798774,101755,900,55100,17586,0.9857717589272996,0.9932303881686946,0.9930289201531118,0.9934421956055992,52.745
random_forest,2024,True,False,69982,175341,4.31,0.5820895233374774,,0.0817409546156767,0.0817409546156767,0.9930251641137856,0.8517944377875164,0.917003820323036,0.01275,0.7936163432809709,101654,714,55286,17687,0.9855814602992384,0.9931520612348628,0.9929538347442176,0.9933738058828504,46.954
xgboost,42,True,False,69982,175341,4.43,0.5921193957328796,,0.0852170627961288,0.0852170627961288,0.9898764069955382,0.8570147727939267,0.9186666906190494,0.0186785714285714,0.7944892737749305,102277,1046,54954,17064,0.9857123963205078,0.9930896948264152,0.9928289242193016,0.9933122176521778,0.462
xgboost,123,True,False,69982,175341,3.16,0.5921193957328796,,0.0852170627961288,0.0852170627961288,0.9898764069955382,0.8570147727939267,0.9186666906190494,0.0186785714285714,0.7944892737749305,102277,1046,54954,17064,0.9857123963205078,0.9930896948264152,0.9928403961282694,0.9933409055765572,0.744
xgboost,2024,True,False,69982,175341,2.47,0.5921193957328796,,0.0852170627961288,0.0852170627961288,0.9898764069955382,0.8570147727939267,0.9186666906190494,0.0186785714285714,0.7944892737749305,102277,1046,54954,17064,0.9857123963205078,0.9930896948264152,0.992876728830789,0.9933119051401074,0.866
isolation_forest,42,True,False,69982,175341,2.74,0.8203513343882942,,0.2807759965174844,0.2807759965174844,0.992027774205992,0.0646466847102001,0.1213832816752938,0.0011071428571428,0.1438919572051372,7715,62,55938,111626,0.7498652000509943,0.8720937043578794,0.8705063543290797,0.8739598454496407,21.019
