model,n_seeds,f1_mean,f1_std,pr_auc_mean,pr_auc_std,precision_mean,recall_mean,fpr_mean,mcc_mean,roc_auc_mean,latency_ms_mean
xgboost,3,0.9186666906190494,0.0,0.9930896948264151,0.0,0.9898764069955382,0.8570147727939267,0.0186785714285714,0.7944892737749306,0.9857123963205078,0.6906666666666667
random_forest,3,0.9170257272021388,0.00030903420618431005,0.993135369876767,0.00010436983075649519,0.992137462992194,0.8524871307150658,0.0143988095238095,0.7929874220104187,0.9855286346577493,51.510333333333335
logistic_regression,3,0.8466634025517698,0.0,0.9857902504669774,0.0,0.9910771478339044,0.73898324967949,0.0141785714285714,0.675935375998166,0.9750987902912064,0.10266666666666667
tcn,1,0.8443878535324304,,0.985733790634712,,0.991931828483365,0.7350530699986565,0.0126636311895276,0.6743642125649569,0.9761209141285572,4.202
bilstm,1,0.8420482673267327,,0.9874794428845202,,0.9923427529626252,0.7312911460432622,0.0119521912350597,0.6715016858322161,0.9789542478824648,1.843
gru,1,0.8214145537326321,,0.9848405422225016,,0.9879154078549848,0.7029423619508263,0.0182128628343767,0.6395483174436591,0.9741976461823196,3.387
lstm,1,0.8210153482880755,,0.9852516744055504,,0.991163055872292,0.7007255139056832,0.0132327831531018,0.6422745484566447,0.9756110201523228,0.824
mlp,1,0.8090217391304347,,0.7146230556378561,,0.6792917769462444,1.0,1.0,0.0,0.5487660975835243,0.176
transformer,1,0.7734151329243354,,0.98050582217043,,0.988603094939356,0.6351605535402391,0.0155093910073989,0.583174989259561,0.9715774576594296,1.444
cnn_lstm,3,0.7700864893361121,0.06568057712004932,0.9551671706631993,0.03924270121645077,0.9864968818271324,0.6353620851807067,0.019256308100929567,0.5827092413486448,0.9319543512035936,0.9606666666666666
cnn1d,1,0.6740027510316369,,0.9786258295699538,,0.9926806953339432,0.5102109364503561,0.0079681274900398,0.4917609838060245,0.9612490232157872,0.687
isolation_forest,3,0.25763035484190683,0.17369070158207361,0.8741337502801395,0.003989573130535596,0.9873160083041842,0.1563810146275518,0.004636904761904734,0.2204783760871982,0.7482095835522937,21.31
